name,industry,location
DMT - Department of Municipalities & Transport,Government,"Al Mamoura Building, 45 Ahl Al 'Azm St, Al Nahyan, Abu Dhabi 62221, UAE"
ITC - Integrated Transport Center,Government,"ITC HQ, Abu Dhabi"
AAM - Al Ain Municipality,Government,"455 Al Baladiyyah St, Al Jimi, Al Ain 33303, UAE"
KEZAD / Abu Dhabi Ports,Government,KEZAD HQ
ADM - Abu Dhabi City Municipality,Government,"606 Shk. Zayed Bin Sultan St, Al Danah, Abu Dhabi 22220, UAE"
Dhafrah - Al Dhafra Region Municipality,Government,"14 Second of December St, Zayed City, Al Dhafra Region 10001"
ADNOC,Government,nan
MODON,Developer,"Hudayriyat Island, Abu Dhabi"
Aldar,Developer,"Aldar Square, Yas Island, Abu Dhabi"
Eagle Hills,Developer,"Capital Plaza Towers, 9th Floor, Corniche St, Al Danah, Abu Dhabi"
Royal Group,Developer,"P.O. Box 5151, Abu Dhabi, UAE"
Amana,Contractor,"AMANA Building, Al Falah St & Alam St, Abu Dhabi"
TPI,Developer,nan
PTS,Developer,"308 Mubarak Bin Mohammed St.
Office 2503 - Shinning Towers"
"Hill International, Inc.",Developer,"Shining Towers, 22nd Floor
Mubarak Bin Mohammed Street, Al Khalidiyah
P.O. Box 5201, Abu Dhabi, UAE"
Integrated Transport Centre,Government,"P.O. Box 20
Abu Dhabi, UAE"
Al Ain Municipality,Government,nan
Amazon,nan,nan
Al Yasat Private School,nan,nan
Omeir Bin Youusuf Group ,nan,nan
Taaleem,nan,nan
Abu Dhabi Ports,nan,nan
Integra ,nan,nan
MWB,nan,nan
Corner Stone International,nan,nan
Baniyas Investment and Development Company ,nan,nan
DLR Group ,nan,nan
Global Schools Group ,nan,nan
MIZA,nan,nan
Mubadala,nan,nan
M4 Contracting ,nan,nan
Trojan,nan,nan
Al Nahdha Investiment,nan,nan
ARX,nan,nan
ADNOC Distribution,Government,nan
Al Ghandi Auto,Developer,nan
YAS Clinic Khalifa City,Developer,nan
